indus,chas,nox,rm,age,tax,ptratio,lstat,log_crime,log_dis,log_rad,log_medv,box_zn,log_b
2.31,0,0.538,6.575,65.2,296,15.3,4.98,-5.064036070823371,1.4085449700547104,0.0,1.6054298910365616,1.0277742834318027,0.0
7.07,0,0.469,6.421,78.9,242,17.8,9.14,-3.6005023434965233,1.602836168799538,0.6931471805599453,2.2126603854660587,0.0,0.0
7.07,0,0.469,7.185,61.1,242,17.8,4.03,-3.60123494426189,1.602836168799538,0.6931471805599453,1.3937663759585917,0.0,1.6233408176030903
2.18,0,0.458,6.998,45.8,222,18.7,2.94,-3.430523211043984,1.802072770503119,1.0986122886681098,1.0784095813505903,0.0,1.1847899849091565
2.18,0,0.458,7.147,54.2,222,18.7,5.33,-2.672924399126836,1.802072770503119,1.0986122886681098,1.673351238177753,0.0,0.0
2.18,0,0.458,6.43,58.7,222,18.7,5.21,-3.511570439143526,1.802072770503119,1.0986122886681098,1.6505798557652755,0.0,1.329724009631489
7.87,0,0.524,6.012,66.6,311,15.2,12.43,-2.427128428068646,1.7156880322767596,1.6094379124341003,2.5201129055226197,0.9999151683146017,0.8329091229350842
7.87,0,0.524,6.172,96.1,311,15.2,19.15,-1.934129810519782,1.7834752496403574,1.6094379124341003,2.952302715626655,0.9999151683146017,0.0
7.87,0,0.524,5.631,100.0,311,15.2,29.93,-1.5547603511434045,1.805350031079887,1.6094379124341003,3.3988613218646075,0.9999151683146017,2.4221443280516834
7.87,0,0.524,6.004,85.9,311,15.2,17.1,-1.7717215754915476,1.8858719623950215,1.6094379124341003,2.8390784635086144,0.9999151683146017,2.4150205223238337
7.87,0,0.524,6.377,94.3,311,15.2,20.45,-1.492143885211743,1.8479349927821578,1.6094379124341003,3.017982882488811,0.9999151683146017,1.6826883741736922
7.87,0,0.524,6.009,82.9,311,15.2,13.27,-2.1415722971463422,1.8288464974373158,1.6094379124341003,2.5855058483441162,0.9999151683146017,0.0
7.87,0,0.524,5.889,39.0,311,15.2,15.71,-2.3668036653206967,1.6957807326561167,1.6094379124341003,2.75429745226753,0.9999151683146017,2.001480000210121
8.14,0,0.538,5.949,61.8,307,21.0,8.26,-0.46241648455830314,1.5491569815491704,1.3862943611198906,2.1114245875328868,0.0,0.0
8.14,0,0.538,6.096,84.5,307,21.0,10.26,-0.44947969352758377,1.4955746842845248,1.3862943611198906,2.3282528397426234,0.0,2.8836827697453677
8.14,0,0.538,5.834,56.5,307,21.0,8.47,-0.4661869221476103,1.5037662372600613,1.3862943611198906,2.136530508663963,0.0,0.8241754429663375
8.14,0,0.538,5.935,29.3,307,21.0,6.58,0.05252603425144661,1.5037662372600613,1.3862943611198906,1.884034745337226,0.0,2.4024304279637576
8.14,0,0.538,5.99,81.7,307,21.0,14.67,-0.2430911891239058,1.4487760809911847,1.3862943611198906,2.6858045921548905,0.0,2.4114394979061258
8.14,0,0.538,5.456,36.6,307,21.0,11.69,-0.2197617759678016,1.3340795896711515,1.3862943611198906,2.458733775483977,0.0,4.690521853087595
8.14,0,0.538,5.727,69.5,307,21.0,11.28,-0.3204807842031671,1.3340795896711515,1.3862943611198906,2.423031246069913,0.0,1.938741659576699
8.14,0,0.538,5.57,98.1,307,21.0,21.02,0.22457452697999086,1.3344482823962802,1.3862943611198906,3.045474365448805,0.0,3.0601145324832584
8.14,0,0.538,5.965,89.2,307,21.0,13.83,-0.1601218048980534,1.3893646429771087,1.3862943611198906,2.626840145676667,0.0,1.6808279085207742
8.14,0,0.538,6.142,91.7,307,21.0,18.72,0.20902028586767565,1.3805026213280807,1.3862943611198906,2.929592471049446,0.0,0.0
8.14,0,0.538,5.813,100.0,307,21.0,19.88,-0.011637453244120754,1.4098155561612364,1.3862943611198906,2.989714201228428,0.0,1.2119409739751
8.14,0,0.538,5.924,94.1,307,21.0,16.3,-0.2873354658601195,1.4815136277008245,1.3862943611198906,2.791165107812717,0.0,1.2725655957915458
8.14,0,0.538,5.599,85.7,307,21.0,16.51,-0.17371073654605956,1.4939372701352471,1.3862943611198906,2.8039662579320366,0.0,4.548388171889107
8.14,0,0.538,5.813,90.3,307,21.0,14.81,-0.397630875999648,1.5437253690687192,1.3862943611198906,2.6953026282797072,0.0,3.045474365448804
8.14,0,0.538,6.047,88.8,307,21.0,17.28,-0.04523798065019433,1.49366784938822,1.3862943611198906,2.8495497633759097,0.0,4.5165575276314875
8.14,0,0.538,6.495,94.4,307,21.0,12.8,-0.2574891670890018,1.4939597185879885,1.3862943611198906,2.5494451709255714,0.0,2.2985770715965046
8.14,0,0.538,6.674,87.3,307,21.0,11.98,0.002447003643051847,1.4443273923705,1.3862943611198906,2.4832385926873033,0.0,2.8718682863316025
8.14,0,0.538,5.713,94.1,307,21.0,22.6,0.12293419009497764,1.4429109615387865,1.3862943611198906,3.1179499062782403,0.0,3.630455533976218
8.14,0,0.538,6.072,100.0,307,21.0,13.04,0.30359479091182995,1.4291143583028187,1.3862943611198906,2.5680215564985067,0.0,3.052585085146772
8.14,0,0.538,5.95,82.0,307,21.0,27.71,0.3278566574477085,1.3837912309017721,1.3862943611198906,3.321793358874887,0.0,5.107762004826978
8.14,0,0.538,5.701,95.0,307,21.0,18.35,0.14125647717535533,1.3316269597775825,1.3862943611198906,2.9096295745005794,0.0,3.6668894362223208
8.14,0,0.538,6.096,96.9,307,21.0,20.34,0.477984199611674,1.324365764497724,1.3862943611198906,3.012589390620414,0.0,5.007898218386369
5.96,0,0.499,5.933,68.2,279,19.2,9.68,-2.746219467219713,1.2120302557036664,1.6094379124341003,2.2700619012884857,0.0,0.0
5.96,0,0.499,5.841,61.4,279,19.2,11.41,-2.3285184750205503,1.2172542146318501,1.6094379124341003,2.4344901638739844,0.0,3.0125893906204126
5.96,0,0.499,5.85,41.5,279,19.2,8.77,-2.5239801737741385,1.3697075575154918,1.6094379124341003,2.1713368063840917,0.0,0.0
5.96,0,0.499,5.966,30.2,279,19.2,10.13,-1.7426836315814622,1.3473716035734287,1.6094379124341003,2.315501318260592,0.0,1.497388408625471
2.95,0,0.428,6.595,21.8,252,18.3,4.32,-3.5888531400468118,1.68660263652915,1.0986122886681098,1.463255402256019,1.0827052113461675,0.8197798314933032
2.95,0,0.428,7.024,15.8,252,18.3,1.98,-3.3935268753579355,1.68660263652915,1.0986122886681098,0.6830968447064438,1.0827052113461675,0.8241754429663375
6.91,0,0.448,6.77,2.9,233,17.9,4.84,-2.060109613380344,1.7441261356719917,1.0986122886681098,1.5769147207285403,0.0,2.5249283241374827
6.91,0,0.448,6.169,6.6,233,17.9,5.81,-1.9554555618988447,1.7441261356719917,1.0986122886681098,1.7595805708638197,0.0,2.67621547758219
6.91,0,0.448,6.211,6.5,233,17.9,7.44,-1.8365894851458489,1.7441261356719917,1.0986122886681098,2.0068708488450007,0.0,1.2354714713853063
6.91,0,0.448,6.069,40.0,233,17.9,9.55,-2.098094430179046,1.7441261356719917,1.0986122886681098,2.256541154492639,0.0,2.1412419425852818
6.91,0,0.448,5.682,33.8,233,17.9,10.21,-1.7636385935114005,1.6293189680272497,1.0986122886681098,2.3233676321765744,0.0,0.0
6.91,0,0.448,5.786,33.3,233,17.9,14.15,-1.6694002536067831,1.6293189680272497,1.0986122886681098,2.649714624089247,0.0,0.0
6.91,0,0.448,6.03,85.5,233,17.9,18.8,-1.4728549306475662,1.7386047944235348,1.0986122886681098,2.9338568698359038,0.0,1.6409365794934652
6.91,0,0.448,5.399,95.3,233,17.9,30.81,-1.3709329540071915,1.7698546338400052,1.0986122886681098,3.4278393126085764,0.0,0.0
6.91,0,0.448,5.602,62.0,233,17.9,16.2,-1.5151737340440177,1.806270342078466,1.0986122886681098,2.785011242238338,0.0,0.0
5.64,0,0.439,5.963,45.7,243,16.8,13.45,-2.4221572281348904,1.9190820436366434,1.3862943611198906,2.598979106047848,1.03732399164568,0.8501509293695994
5.64,0,0.439,6.115,63.0,243,16.8,9.43,-3.137987321134862,1.9190820436366434,1.3862943611198906,2.2438960966453663,1.03732399164568,1.3686394258811572
5.64,0,0.439,6.511,21.1,243,16.8,5.28,-2.926206210905381,1.9190820436366434,1.3862943611198906,1.6639260977181702,1.03732399164568,0.0
5.64,0,0.439,5.998,21.4,243,16.8,8.43,-2.9995395118969452,1.9190820436366434,1.3862943611198906,2.131796772013764,1.03732399164568,0.0
4.0,0,0.41,5.888,47.6,469,21.1,14.8,-4.29768548624013,1.990569343526812,1.0986122886681098,2.6946271807700692,1.0827052113461675,0.0
1.22,0,0.403,7.249,21.9,226,17.9,4.81,-4.334379981206529,2.162932144678819,1.6094379124341003,1.5706970841176697,1.0860009389467897,0.6780335427498821
0.74,0,0.41,6.383,35.7,313,17.3,5.77,-3.8848943380398935,2.2178547488334623,0.6931471805599453,1.7526720805200082,1.0850241906005584,0.0
1.32,0,0.411,6.816,40.5,256,15.1,3.95,-4.2460981174496375,2.119239011553902,1.6094379124341003,1.3737155789130306,1.0876769268591884,1.6094379124341003
5.13,0,0.453,6.145,29.2,284,19.7,6.86,-1.8678848596175464,2.0560193717353434,2.0794415416798357,1.925707441737794,1.0467676072884475,1.9768549529047308
5.13,0,0.453,5.927,47.2,284,19.7,9.22,-2.27031153244375,1.9361483718533596,2.0794415416798357,2.2213750375685026,1.0467676072884475,0.0
5.13,0,0.453,5.741,66.2,284,19.7,13.15,-1.901663624935754,1.977602595787803,2.0794415416798357,2.5764217586237734,1.0467676072884475,1.0260415958332612
5.13,0,0.453,5.966,93.4,284,19.7,14.44,-1.7619482716564259,1.9196395063157516,2.0794415416798357,2.67000213346468,1.0467676072884475,2.9866915289018414
5.13,0,0.453,6.456,67.8,284,19.7,6.73,-2.20482337521155,1.9776164357562482,2.0794415416798357,1.9065751436566365,1.0467676072884475,0.0
5.13,0,0.453,6.762,43.4,284,19.7,9.5,-2.0675129708145623,2.077051187057198,2.0794415416798357,2.2512917986064953,1.0467676072884475,0.8415671856782156
1.38,0,0.4161,7.104,59.5,216,18.6,8.05,-3.9368281243471173,2.221689521735732,1.0986122886681098,2.0856720914304723,1.0258967208238021,1.5390154481375478
3.37,0,0.398,6.29,17.8,337,16.1,4.67,-3.3286906908754075,1.8888105570147407,1.3862943611198906,1.541159071680806,1.08393289129948,0.0
3.37,0,0.398,5.787,31.1,337,16.1,10.24,-3.12834979816883,1.8888105570147407,1.3862943611198906,2.3263016196113617,1.08393289129948,0.0
6.07,0,0.409,5.878,21.4,345,18.9,8.1,-2.849210620891224,1.8714944372469087,1.3862943611198906,2.0918640616783932,0.9999151683146017,0.5247285289349808
6.07,0,0.409,5.594,36.8,345,18.9,13.09,-1.9984884792741702,1.8714944372469087,1.3862943611198906,2.5718485799218085,0.9999151683146017,0.0
6.07,0,0.409,5.885,33.0,345,18.9,8.79,-2.054475795662088,1.8714944372469087,1.3862943611198906,2.1736147116970854,0.9999151683146017,0.0
10.81,0,0.413,6.417,6.6,305,19.2,6.72,-2.4274682751407357,1.665307718597909,1.3862943611198906,1.9050881545350582,0.0,2.651127053702586
10.81,0,0.413,5.961,17.5,305,19.2,9.88,-1.8403616510672725,1.665307718597909,1.3862943611198906,2.2905125117597764,0.0,3.0426158594528405
10.81,0,0.413,6.065,7.8,305,19.2,5.52,-2.389887421396842,1.665307718597909,1.3862943611198906,1.7083778602890038,0.0,1.9444805562457121
10.81,0,0.413,6.245,6.2,305,19.2,7.54,-1.632757717755717,1.665307718597909,1.3862943611198906,2.020222182019865,0.0,3.031581926447686
12.83,0,0.437,6.273,6.0,398,18.7,6.78,-2.538813883856911,1.4472718618437102,1.6094379124341003,1.9139771019523042,0.0,1.0919233005173001
12.83,0,0.437,6.286,45.0,398,18.7,8.94,-2.3526160265996108,1.5046550077047365,1.6094379124341003,2.190535589185423,0.0,2.6858045921548874
12.83,0,0.437,6.279,74.5,398,18.7,11.97,-2.2874009576690058,1.3992599435099138,1.6094379124341003,2.482403519569882,0.0,3.188004161201112
12.83,0,0.437,6.14,45.8,398,18.7,10.27,-2.441042886141613,1.4086672119716157,1.6094379124341003,2.329227023940467,0.0,2.3924257969938347
12.83,0,0.437,6.232,53.7,398,18.7,12.34,-2.8742228561567935,1.6122539436935819,1.6094379124341003,2.5128460184772416,0.0,2.4423470353692043
12.83,0,0.437,5.874,36.6,398,18.7,9.1,-2.478487297985817,1.5046550077047365,1.6094379124341003,2.2082744135228043,0.0,0.6097655716208806
4.86,0,0.426,6.727,33.5,281,19.0,5.29,-3.1910174967398044,1.6865285747986638,1.3862943611198906,1.665818245870208,1.0467676072884475,0.0
4.86,0,0.426,6.619,70.4,281,19.0,7.22,-3.1095730899777507,1.6865285747986638,1.3862943611198906,1.9768549529047348,1.0467676072884475,0.8197798314933032
4.86,0,0.426,6.302,32.2,281,19.0,6.72,-3.3079802999510215,1.6865285747986638,1.3862943611198906,1.9050881545350582,1.0467676072884475,0.0
4.86,0,0.426,6.167,46.7,281,19.0,7.51,-3.3379409320271405,1.6865285747986638,1.3862943611198906,2.0162354657760435,1.0467676072884475,1.9823798288367034
4.49,0,0.449,6.389,48.0,247,18.5,9.62,-2.9840013506782923,1.5643150156121397,1.0986122886681098,2.263844264677615,0.0,0.0
4.49,0,0.449,6.63,56.1,247,18.5,6.53,-2.8585824354067575,1.4901362242084286,1.0986122886681098,1.8764069432883397,0.0,1.7227665977410975
4.49,0,0.449,6.015,45.1,247,18.5,12.86,-2.958821919533894,1.4877673300505243,1.0986122886681098,2.554121718809473,0.0,0.6471032420585219
4.49,0,0.449,6.121,56.8,247,18.5,8.44,-2.6379179789218323,1.321115635094896,1.0986122886681098,2.1329823086078656,0.0,1.0116009116784799
3.41,0,0.489,7.007,86.3,270,17.8,5.5,-2.871746293773,1.2301375035965438,0.6931471805599453,1.7047480922384253,0.0,0.0
3.41,0,0.489,7.079,63.1,270,17.8,5.7,-2.9370860781212578,1.2280310694190069,0.6931471805599453,1.7404661748405046,0.0,0.6097655716208806
3.41,0,0.489,6.417,66.1,270,17.8,8.81,-3.0610177402526206,1.1289151505981556,0.6931471805599453,2.175887439948088,0.0,1.7439688053917013
3.41,0,0.489,6.405,73.9,270,17.8,8.2,-3.2360219837031714,1.1288504717287196,0.6931471805599453,2.1041341542702074,0.0,1.4701758451005849
15.04,0,0.464,6.442,53.6,270,18.2,8.16,-3.1693716299651116,1.2990738713586183,1.3862943611198906,2.0992441689760155,1.0522120991357176,1.061256502124336
15.04,0,0.464,6.211,28.9,270,18.2,6.21,-3.5491175117387774,1.2990738713586183,1.3862943611198906,1.8261608959453874,1.0522120991357176,0.45107561936021234
15.04,0,0.464,6.249,77.3,270,18.2,10.59,-3.147951486531502,1.285091855610728,1.3862943611198906,2.359910159613315,1.0522120991357176,0.0
2.89,0,0.445,6.625,57.8,276,18.0,6.65,-2.1034064191336683,1.251390598655089,0.6931471805599453,1.8946168546677629,0.0,3.6868774514432623
2.89,0,0.445,6.163,69.6,276,18.0,11.34,-2.1624753850094005,1.251390598655089,0.6931471805599453,2.428336298299606,0.0,1.8033586050714057
2.89,0,0.445,8.069,76.0,276,18.0,4.21,-2.1133706799429204,1.251390598655089,0.6931471805599453,1.43746264769429,0.0,0.0
2.89,0,0.445,7.82,36.9,276,18.0,3.57,-2.5026226555937803,1.251390598655089,0.6931471805599453,1.2725655957915476,0.0,1.4747630091075
2.89,0,0.445,7.416,62.5,276,18.0,6.19,-2.6794627442502974,1.251390598655089,0.6931471805599453,1.8229350866965048,0.0,0.0
8.56,0,0.52,6.727,79.9,384,20.9,9.42,-1.9060934596849897,1.0216592474999815,1.6094379124341003,2.2428350885882717,0.0,1.1442227999201577
8.56,0,0.52,6.781,71.3,384,20.9,7.67,-2.168753745360525,1.0494570578699642,1.6094379124341003,2.0373166153791646,0.0,0.8415671856782156
